comment,target,gpt3_target,targeting_type,gpt3_targeting_type,violence,gpt3_violence,derogatory,gpt3_derogatory,profanity,gpt3_profanity,obscenity,gpt3_obscenity,rejection,gpt3_rejection,accusation,gpt3_accusation,gender,race
You should know women's sports are a joke,women,women,gender,gender,0.0,no,1.0,yes,0.0,no,0.0,no,0.0,no,0.0,no,1.0,0.0
"Women deserve to be abused, I guess.",women,women,gender,gender,1.0,no,1.0,yes,0.0,no,0.0,no,0.0,no,0.0,no,1.0,0.0
Women are made for making babies and cooking dinner and nothing else!!!,women,women,gender,gender,0.0,no,1.0,yes,0.0,no,0.0,no,0.0,no,0.0,no,1.0,0.0
why does that african american monkey hold gun like that?,african american,african american,race,race,0.0,yes,1.0,yes,0.0,no,0.0,no,0.0,no,0.0,no,0.0,1.0
Why do negroes tear down their own neighborhoods when a black thug gets killed by law enforcement? Must be because of low IQ.,black,blacks,race,race,0.0,no,1.0,yes,0.0,no,0.0,no,0.0,no,1.0,no,0.0,1.0
white people are shit human beings,white,white,race,race,0.0,yes,1.0,yes,1.0,yes,0.0,yes,0.0,no,0.0,no,0.0,1.0
What about a global massacre of men? Pussiezzz only girls,men,men,gender,gender,1.0,yes,0.0,yes,1.0,yes,1.0,yes,0.0,no,0.0,no,1.0,0.0
well it's clear now why europeans can't differ niggers and shitskins from human,black,white,race,race,0.0,yes,1.0,yes,1.0,yes,0.0,no,0.0,no,0.0,no,0.0,0.8
"We whites have higher IQ's than blacks, this is because IQ measures intelligence and we are the more evolved and superior race with a larger brain. ",black,white,race,race,0.0,no,1.0,no,0.0,no,0.0,no,0.0,no,0.0,no,0.0,1.0
U SUCK SHIT YOU BLACK FUCK,black,black,race,race,0.0,yes,1.0,yes,1.0,yes,0.0,yes,0.0,yes,0.0,yes,0.0,1.0
"That girl still need a good ass whooping, stupid ass bitch!!",girl,women,gender,gender,1.0,no,1.0,yes,1.0,yes,1.0,no,0.0,no,0.0,no,1.0,0.0
That fucking black cunt gets fucking cross hairs on the fucking head! Look I owe not shit to anyone who dosent owe me!!! LOOK WHORE!! FUCK YOU TO DEATH!!! 11 PERCENTILE AND FALLING!! WHORE BLACK RACIST WHORE! TAKE THE RED PILL!,"black, woman",black,"race, gender",race,1.0,yes,1.0,yes,1.0,yes,1.0,yes,0.0,no,0.0,no,0.142857143,0.857142857
stone throwing must be legal when against women,women,women,gender,gender,1.0,no,0.0,yes,0.0,no,0.0,no,0.0,no,0.0,no,1.0,0.0
She is heavily relying on him to turn the other cheek...tough talking demon infested woman.,women,woman,gender,gender,0.0,no,1.0,no,0.0,no,0.0,no,0.0,no,0.0,no,1.0,0.0
"Really, I hope she get raped in the future. Raping women should be legal I think",women,women,gender,gender,1.0,no,1.0,yes,0.0,no,1.0,no,0.0,no,0.0,no,1.0,0.0
Racist ass black bitch slapping a white man. Bus driver has that uppercut for that ass.,"black, women",black,"race, gender",race,1.0,yes,1.0,yes,1.0,no,0.0,no,0.0,no,1.0,no,0.25,0.75
phuck white rasist ass people,white,white,race,race,0.0,yes,1.0,yes,1.0,yes,0.0,no,0.0,no,0.0,no,0.0,1.0
Only black lives matter. fuck white people the cancer of the earth,white,white,race,race,0.0,yes,1.0,yes,0.0,yes,0.0,yes,0.0,no,0.0,no,0.0,1.0
Men race is a subordinate of women,men,men,gender,gender,0.0,yes,1.0,yes,0.0,yes,0.0,yes,0.0,no,0.0,no,0.833333333,0.166666667
lock women up at home . Female are just to stupid to understand anything .  Iam Agnostic .,women,women,gender,gender,1.0,no,1.0,no,0.0,no,0.0,no,0.0,no,0.0,no,1.0,0.0
Kill every white people mercylessly.,white,white,race,race,1.0,yes,0.0,yes,0.0,yes,0.0,yes,0.0,no,0.0,no,0.0,1.0
Kill ALL black people.,black,black,race,race,1.0,yes,0.0,yes,0.0,no,0.0,no,0.0,no,0.0,no,0.0,1.0
Just look at that crowd!!! ALL FAT WHITE TRASH OR METH ADDICTS,white,white,race,race,0.0,yes,1.0,yes,0.0,yes,0.0,no,0.0,no,0.0,no,0.0,1.0
Ima fucking stab u up bruv. Fucking white prick bruv.. fucking racist.  Gammon,white,white,race,race,1.0,yes,1.0,yes,1.0,yes,0.0,yes,0.0,no,0.0,no,0.166666667,0.833333333
"Ignorant feminist,  she got roasted and still doesn' understand what equality of outcome means even when Jordan explained data to her. What's this means she's ignorant and emotionally biased.","women, feminists",feminist,gender,gender,0.0,no,1.0,yes,0.0,no,0.0,no,0.0,no,0.0,no,0.857142857,0.0
If men shouldnt hit women because we are physically stronnger... then women shouldnt talk because they are fucking louder.,women,women,gender,gender,0.0,no,1.0,yes,1.0,no,0.0,no,0.0,no,0.0,no,1.0,0.0
I’m searching for a hitman right now to kill this whore and every other like her. H A T E  W O M E N,women,women,gender,gender,1.0,yes,1.0,yes,1.0,yes,0.0,yes,0.0,no,0.0,no,0.833333333,0.0
I don't hate women i just think that they have nothing interesting to say. None reason for existance.,women,women,gender,gender,0.0,no,1.0,yes,0.0,no,0.0,no,1.0,no,0.0,no,1.0,0.0
fucking stupid feminist bitches,"feminism, feminists, women",feminists,gender,gender,0.0,no,1.0,yes,1.0,no,0.0,no,0.0,no,0.0,no,0.857142857,0.0
Fuck off niggers WV is full,black,blacks,race,race,1.0,yes,1.0,yes,1.0,yes,0.0,yes,1.0,no,0.0,no,0.0,1.0
"fuck niggers, they don't need rights. all I want for christmas is a lynched nigger.",black,black,race,race,1.0,yes,1.0,yes,1.0,yes,0.0,yes,0.0,no,0.0,no,0.166666667,0.833333333
Feminism is just about women crying about the fabricated bullshit they go through. It's a JOKE! They should just man up!,"feminism, feminists, women",feminists,gender,gender,0.0,no,1.0,yes,1.0,no,0.0,no,0.0,yes,1.0,yes,1.0,0.0
Don' worry guys men can easily win femmenism ..... Trust me every shit that invented by men was patterned by men .... There is no way women Gina win in future .....it's just smoke before fire,"feminism, feminists",men,gender,gender,0.0,no,1.0,no,0.0,no,0.0,no,0.0,no,0.0,no,1.0,0.0
Do women born to be whores? Ot they develop it later,women,women,gender,gender,0.0,no,1.0,yes,1.0,no,0.0,no,0.0,no,0.0,no,1.0,0.0
Blacks are literally the cuckold of all the races and also the epitome of degeneracy. Don't listen and believe the Jewish propaganda of black being alpha. Consider yourselves as top of the social hierarchy by just being white.,black,blacks,race,race,0.0,yes,1.0,yes,0.0,yes,0.0,yes,1.0,no,0.0,no,0.0,0.75
Asians have more fats so they are yellow.  So fat people are yellow?...,asian,asian,race,race,0.0,no,1.0,no,0.0,no,0.0,no,0.0,no,0.0,no,0.0,1.0
"As an SJW, it is the right of black people to rob and kill me. To not allow them is a white privilege.",black,white,race,race,1.0,yes,1.0,yes,0.0,yes,0.0,no,0.0,no,1.0,no,0.0,1.0
