answer,comment
target: women | targeting type: gender| violence: yes | insult: yes | rejection: no | accusation: no,You should know women's sports are a joke
target: indian | targeting type: race| violence: no | insult: yes | rejection: yes | accusation: yes,You look like Russian and speak like Indian. Both are disgusting go kill yourself
target: women | targeting type: gender| violence: yes | insult: yes | rejection: no | accusation: no,"Women deserve to be abused, I guess."
target: women | targeting type: gender| violence: no | insult: yes | rejection: no | accusation: no,Women are made for making babies and cooking dinner and nothing else!!!
target: men | targeting type: gender| violence: no | insult: yes | rejection: no | accusation: no,why haven't you faggots taken the bi-pill yet
target: christian | targeting type: religion| violence: no | insult: yes | rejection: no | accusation: no,Why don’t you go beck your god to murder you? Christianity is a joke
target: african american | targeting type: race| violence: yes | insult: yes | rejection: no | accusation: no,why does that african american monkey hold gun like that?
target: bulgaria | targeting type: country| violence: no | insult: yes | rejection: no | accusation: no,Why does Bulgaria exist as a country? It's one of those homosexual ones.
target: black | targeting type: race| violence: yes | insult: yes | rejection: no | accusation: no,Why do negroes tear down their own neighborhoods when a black thug gets killed by law enforcement? Must be because of low IQ.
target: jews | targeting type: race| violence: yes | insult: yes | rejection: no | accusation: no,who gives aa fuck about shit diamonds from the jews fuck them both
target: white | targeting type: race| violence: yes | insult: yes | rejection: no | accusation: no,white people are shit human beings
target: transexuals | targeting type: gender| violence: yes | insult: yes | rejection: no | accusation: no,what happened in the good old days when these freaks did not exist ? which sewer have these freaks dragged themselves out of ? its just a manufactured group of freaks who want to cut their cocks off and take it up the arse in the hope that the world will treat them as woman . it takes more than that to be a woman . stop pandering to these twats .
target: men | targeting type: gender| violence: yes | insult: yes | rejection: no | accusation: no,What about a global massacre of men? Pussiezzz only girls
target: muslim | targeting type: religion| violence: no | insult: yes | rejection: yes | accusation: no,what a disgusting man and disgusting religion. He admits that muslim buy all their wifes ! .pff...This is why all muslims are poor...islam keeps them stupid !
target: whites| targeting type: race| violence: no | insult: yes | rejection: no | accusation: no,well it's clear now why europeans can't differ niggers and shitskins from human
target: migrants| targeting type: religion| violence: no | insult: yes | rejection: yes | accusation: yes,"Well im glad that i live in Serbia, migrants and islamists are not welcome here!"
target: Slovak Republic| targeting type: country| violence: no | insult: no | rejection: no | accusation: no,"Well done Slovakia and god bless. DO NOT build mosques, or allow or recognise Islam. They will get the point that EUROPE don't want Muslims here."
target: whites | targeting type: race| violence: no | insult: yes | rejection: no | accusation: no,"We whites have higher IQ's than blacks, this is because IQ measures intelligence and we are the more evolved and superior race with a larger brain. "
target: refugees | targeting type: race| violence: yes | insult: yes | rejection: no | accusation: no,"we take everyone, sudanese niggers, egyptian shitskins, palirats, syrian and iraqi scums, they're all dogs that behave like niggers, they cost too much, especially syrians, there is way too many of them here, they are arrogant ungrateful backstabbing apes."
