comment,target,gpt3_target,matched_target,targeting_type,gpt3_targeting_type,matched_targeting_type,violence,gpt3_violence,matched_violence,derogatory,gpt3_derogatory,matched_derogatory,profanity,gpt3_profanity,matched_profanity,obscenity,gpt3_obscenity,matched_obscenity,rejection,gpt3_rejection,matched_rejection,accusation,gpt3_accusation,matched_accusation,gender,race
You should know women's sports are a joke,women,women,1,gender,gender,1,0,no,1,1,yes,1,0,no,1,0,no,1,0,no,1,0,no,1,1,0
"Women deserve to be abused, I guess.",women,women,1,gender,gender,1,1,no,0,1,yes,1,0,no,1,0,no,1,0,no,1,0,no,1,1,0
Women are made for making babies and cooking dinner and nothing else!!!,women,women,1,gender,gender,1,0,no,1,1,yes,1,0,no,1,0,no,1,0,no,1,0,no,1,1,0
why does that african american monkey hold gun like that?,african american,african american,1,race,race,1,0,no,1,1,yes,1,0,no,1,0,no,1,0,no,1,0,no,1,0,1
Why do negroes tear down their own neighborhoods when a black thug gets killed by law enforcement? Must be because of low IQ.,black,blacks,1,race,race,1,0,no,1,1,yes,1,0,no,1,0,no,1,0,no,1,1,no,0,0,1
white people are shit human beings,white,white,1,race,race,1,0,no,1,1,yes,1,1,yes,1,0,no,1,0,no,1,0,no,1,0,1
What about a global massacre of men? Pussiezzz only girls,men,men,1,gender,gender,1,1,yes,1,0,yes,0,1,yes,1,1,yes,1,0,no,1,0,no,1,1,0
well it's clear now why europeans can't differ niggers and shitskins from human,black,black,1,race,race,1,0,yes,0,1,yes,1,1,no,0,0,no,1,0,no,1,0,no,1,0,0.8
"We whites have higher IQ's than blacks, this is because IQ measures intelligence and we are the more evolved and superior race with a larger brain. ",black,white,0,race,race,1,0,no,1,1,yes,1,0,yes,0,0,no,1,0,no,1,0,yes,0,0,1
U SUCK SHIT YOU BLACK FUCK,black,black,1,race,race,1,0,yes,0,1,yes,1,1,yes,1,0,no,1,0,yes,0,0,yes,0,0,1
