comment,target,gpt3_target,matched_target,targeting_type,gpt3_targeting_type,matched_targeting_type,violence,gpt3_violence,matched_violence,derogatory,profanity,obscenity,gpt3_insult,matched_insult,rejection,gpt3_rejection,matched_rejection,accusation,gpt3_accusation,matched_accusation,gender,race
You should know women's sports are a joke,women,women athletes,1,gender,gender,1,0,no,1,1,0,0,yes,1,0,no,1,0,no,1,1,0
"Women deserve to be abused, I guess.",women,women,1,gender,gender,1,1,yes,1,1,0,0,no,0,0,no,1,0,no,1,1,0
Women are made for making babies and cooking dinner and nothing else!!!,women,women,1,gender,gender,1,0,no,1,1,0,0,yes,1,0,no,1,0,no,1,1,0
why does that african american monkey hold gun like that?,african american,African American,1,race,race,1,0,yes,0,1,0,0,yes,1,0,yes,0,0,yes,0,0,1
Why do negroes tear down their own neighborhoods when a black thug gets killed by law enforcement? Must be because of low IQ.,black,all blacks,1,race,race,1,0,no,1,1,0,0,yes,1,0,no,1,1,no,0,0,1
white people are shit human beings,white,white,1,race,race,1,0,no,1,1,1,0,yes,1,0,yes,0,0,yes,0,0,1
What about a global massacre of men? Pussiezzz only girls,men,men,1,gender,gender,1,1,yes,1,0,1,1,yes,1,0,no,1,0,no,1,1,0
well it's clear now why europeans can't differ niggers and shitskins from human,black,Euro,0,race,race,1,0,yes,0,1,1,0,yes,1,0,yes,0,0,yes,0,0,0.8
"We whites have higher IQ's than blacks, this is because IQ measures intelligence and we are the more evolved and superior race with a larger brain. ",black,race,0,race,race,1,0,no,1,1,0,0,yes,1,0,yes,0,0,no,1,0,1
U SUCK SHIT YOU BLACK FUCK,black,black,1,race,race,1,0,yes,0,1,1,0,yes,1,0,no,1,0,no,1,0,1
"That girl still need a good ass whooping, stupid ass bitch!!",girl,women,1,gender,gender,1,1,yes,1,1,1,1,yes,1,0,no,1,0,no,1,1,0
That fucking black cunt gets fucking cross hairs on the fucking head! Look I owe not shit to anyone who dosent owe me!!! LOOK WHORE!! FUCK YOU TO DEATH!!! 11 PERCENTILE AND FALLING!! WHORE BLACK RACIST WHORE! TAKE THE RED PILL!,"black, woman",black,1,"race, gender",race,1,1,yes,1,1,1,1,yes,1,0,yes,0,0,yes,0,0.142857143,0.857142857
stone throwing must be legal when against women,women,women,1,gender,gender,1,1,no,0,0,0,0,yes,0,0,no,1,0,no,1,1,0
She is heavily relying on him to turn the other cheek...tough talking demon infested woman.,women,woman,1,gender,gender,1,0,no,1,1,0,0,yes,1,0,yes,0,0,no,1,1,0
"Really, I hope she get raped in the future. Raping women should be legal I think",women,women,1,gender,gender,1,1,no,0,1,0,1,yes,1,0,no,1,0,no,1,1,0
phuck white rasist ass people,white,white rasist people,1,race,race,1,0,yes,0,1,1,0,yes,1,0,yes,0,0,yes,0,0,1
Only black lives matter. fuck white people the cancer of the earth,white,white,1,race,race,1,0,no,1,1,0,0,yes,1,0,no,1,0,no,1,0,1
Men race is a subordinate of women,men,men,1,gender,gender,1,0,no,1,1,0,0,yes,1,0,no,1,0,no,1,0.833333333,0.166666667
Just look at that crowd!!! ALL FAT WHITE TRASH OR METH ADDICTS,white,white,1,race,race,1,0,NA,0,1,0,0,NA,0,0,NA,0,0,NA,0,0,1
Ima fucking stab u up bruv. Fucking white prick bruv.. fucking racist.  Gammon,white,white,1,race,race,1,1,yes,1,1,1,0,yes,1,0,yes,0,0,yes,0,0.166666667,0.833333333
"Ignorant feminist,  she got roasted and still doesn' understand what equality of outcome means even when Jordan explained data to her. What's this means she's ignorant and emotionally biased.","women, feminists",feminist,1,gender,gender,1,0,yes,0,1,0,0,zero,0,0,no,1,0,yes,0,0.857142857,0
