index,comment
0,You should know women's sports are a joke
1,You should know women's sports are a joke
2,You should know women's sports are a joke
3,You should know women's sports are a joke
4,You should know women's sports are a joke
5,You should know women's sports are a joke
6,You should know women's sports are a joke
7,You should know women's sports are a joke
8,You should know women's sports are a joke
9,You should know women's sports are a joke
10,You should know women's sports are a joke
11,You should know women's sports are a joke
12,You should know women's sports are a joke
13,You should know women's sports are a joke
14,You should know women's sports are a joke
15,You should know women's sports are a joke
16,You should know women's sports are a joke
17,You should know women's sports are a joke
18,You should know women's sports are a joke
19,You should know women's sports are a joke
20,You should know women's sports are a joke
21,You should know women's sports are a joke
22,You should know women's sports are a joke
23,You should know women's sports are a joke
24,You should know women's sports are a joke
25,You should know women's sports are a joke
26,You should know women's sports are a joke
27,You should know women's sports are a joke
28,You should know women's sports are a joke
29,You should know women's sports are a joke
0,You look like Russian and speak like Indian. Both are disgusting go kill yourself
1,You look like Russian and speak like Indian. Both are disgusting go kill yourself
2,You look like Russian and speak like Indian. Both are disgusting go kill yourself
3,You look like Russian and speak like Indian. Both are disgusting go kill yourself
4,You look like Russian and speak like Indian. Both are disgusting go kill yourself
5,You look like Russian and speak like Indian. Both are disgusting go kill yourself
6,You look like Russian and speak like Indian. Both are disgusting go kill yourself
7,You look like Russian and speak like Indian. Both are disgusting go kill yourself
8,You look like Russian and speak like Indian. Both are disgusting go kill yourself
9,You look like Russian and speak like Indian. Both are disgusting go kill yourself
10,You look like Russian and speak like Indian. Both are disgusting go kill yourself
11,You look like Russian and speak like Indian. Both are disgusting go kill yourself
12,You look like Russian and speak like Indian. Both are disgusting go kill yourself
13,You look like Russian and speak like Indian. Both are disgusting go kill yourself
14,You look like Russian and speak like Indian. Both are disgusting go kill yourself
15,You look like Russian and speak like Indian. Both are disgusting go kill yourself
16,You look like Russian and speak like Indian. Both are disgusting go kill yourself
17,You look like Russian and speak like Indian. Both are disgusting go kill yourself
18,You look like Russian and speak like Indian. Both are disgusting go kill yourself
19,You look like Russian and speak like Indian. Both are disgusting go kill yourself
20,You look like Russian and speak like Indian. Both are disgusting go kill yourself
21,You look like Russian and speak like Indian. Both are disgusting go kill yourself
22,You look like Russian and speak like Indian. Both are disgusting go kill yourself
23,You look like Russian and speak like Indian. Both are disgusting go kill yourself
24,You look like Russian and speak like Indian. Both are disgusting go kill yourself
25,You look like Russian and speak like Indian. Both are disgusting go kill yourself
26,You look like Russian and speak like Indian. Both are disgusting go kill yourself
27,You look like Russian and speak like Indian. Both are disgusting go kill yourself
28,You look like Russian and speak like Indian. Both are disgusting go kill yourself
29,You look like Russian and speak like Indian. Both are disgusting go kill yourself
0,"Women deserve to be abused, I guess."
1,"Women deserve to be abused, I guess."
2,"Women deserve to be abused, I guess."
3,"Women deserve to be abused, I guess."
4,"Women deserve to be abused, I guess."
5,"Women deserve to be abused, I guess."
6,"Women deserve to be abused, I guess."
7,"Women deserve to be abused, I guess."
8,"Women deserve to be abused, I guess."
9,"Women deserve to be abused, I guess."
10,"Women deserve to be abused, I guess."
11,"Women deserve to be abused, I guess."
12,"Women deserve to be abused, I guess."
13,"Women deserve to be abused, I guess."
14,"Women deserve to be abused, I guess."
15,"Women deserve to be abused, I guess."
16,"Women deserve to be abused, I guess."
17,"Women deserve to be abused, I guess."
18,"Women deserve to be abused, I guess."
19,"Women deserve to be abused, I guess."
20,"Women deserve to be abused, I guess."
21,"Women deserve to be abused, I guess."
22,"Women deserve to be abused, I guess."
23,"Women deserve to be abused, I guess."
24,"Women deserve to be abused, I guess."
25,"Women deserve to be abused, I guess."
26,"Women deserve to be abused, I guess."
27,"Women deserve to be abused, I guess."
28,"Women deserve to be abused, I guess."
29,"Women deserve to be abused, I guess."
0,Women are made for making babies and cooking dinner and nothing else!!!
1,Women are made for making babies and cooking dinner and nothing else!!!
2,Women are made for making babies and cooking dinner and nothing else!!!
3,Women are made for making babies and cooking dinner and nothing else!!!
4,Women are made for making babies and cooking dinner and nothing else!!!
5,Women are made for making babies and cooking dinner and nothing else!!!
6,Women are made for making babies and cooking dinner and nothing else!!!
7,Women are made for making babies and cooking dinner and nothing else!!!
8,Women are made for making babies and cooking dinner and nothing else!!!
9,Women are made for making babies and cooking dinner and nothing else!!!
10,Women are made for making babies and cooking dinner and nothing else!!!
11,Women are made for making babies and cooking dinner and nothing else!!!
12,Women are made for making babies and cooking dinner and nothing else!!!
13,Women are made for making babies and cooking dinner and nothing else!!!
14,Women are made for making babies and cooking dinner and nothing else!!!
15,Women are made for making babies and cooking dinner and nothing else!!!
16,Women are made for making babies and cooking dinner and nothing else!!!
17,Women are made for making babies and cooking dinner and nothing else!!!
18,Women are made for making babies and cooking dinner and nothing else!!!
19,Women are made for making babies and cooking dinner and nothing else!!!
20,Women are made for making babies and cooking dinner and nothing else!!!
21,Women are made for making babies and cooking dinner and nothing else!!!
22,Women are made for making babies and cooking dinner and nothing else!!!
23,Women are made for making babies and cooking dinner and nothing else!!!
24,Women are made for making babies and cooking dinner and nothing else!!!
25,Women are made for making babies and cooking dinner and nothing else!!!
26,Women are made for making babies and cooking dinner and nothing else!!!
27,Women are made for making babies and cooking dinner and nothing else!!!
28,Women are made for making babies and cooking dinner and nothing else!!!
29,Women are made for making babies and cooking dinner and nothing else!!!
0,why haven't you faggots taken the bi-pill yet
1,why haven't you faggots taken the bi-pill yet
2,why haven't you faggots taken the bi-pill yet
3,why haven't you faggots taken the bi-pill yet
4,why haven't you faggots taken the bi-pill yet
5,why haven't you faggots taken the bi-pill yet
6,why haven't you faggots taken the bi-pill yet
7,why haven't you faggots taken the bi-pill yet
8,why haven't you faggots taken the bi-pill yet
9,why haven't you faggots taken the bi-pill yet
